20745,19633
20746,35951
20747,17026
20748,28681
20749,12148
20750,15655
20751,19632
20752,31375
20753,23049
20754,22475
20755,10415
20756,10659
20757,38916
20758,16990
20759,24545
20760,24058
20761,14125
20762,41324
20763,22520
20764,11247
20765,14270
20766,15975
20767,16799
20768,11091
20769,13928
20770,19390
20771,12465
20772,13568
20773,13965
20774,16568
20775,21758
20776,33168
20777,20108
20778,16962
20779,17757
20780,25898
20781,9642
20782,13158
20783,17032
20784,19629
20785,21940
20786,24018
20787,13882
20788,12957
20789,21755
20790,17390
20791,30598
20792,10627
20793,28984
20794,13947
20795,9873
20796,11089
20797,20606
20798,37332
20799,11183
20800,17260
20801,17113
20802,6193
20803,9297
20804,12615
20805,9758
20806,7344
20807,7138
20808,17921
20809,9533
20810,8745
20811,17790
20812,14024
20813,16313
20814,11126
20815,28295
20816,10082
20817,12615
20818,13316
20819,13706
20820,39091
20821,24358
20822,19117
20823,18681
20824,35242
20825,7676
20826,6729
20827,7672
20828,11257
20829,13425
20830,8002
20831,8047
20832,9774
20833,8165
20834,8490
20835,10639
20836,13812
20837,13100
20838,25185
20839,13884
20840,33132
20841,19847
20842,27348
20843,18642
20844,11848
20845,22817
20846,19738
20847,8536
20848,13220
20849,11824
20850,9015
20851,8029
20852,7377
20853,12382
20854,14208
20855,24677
20856,29845
20857,33647
20858,38280
20859,14103
20860,11805
20861,11100
20862,14624
20863,14912
20864,8252
20865,12584
20866,15115
20867,21576
20868,40137
20869,24589
20870,16631
20871,17379
20872,25361
20873,14385
20874,23942
20875,21327
20876,23969
20877,12163
20878,20219
20879,18725
20880,10711
20881,13081
20882,11453
20883,9229
20884,9782
20885,13577
20886,7835
20887,9366
20888,21250
20889,20244
20890,26146
20891,24480
20892,10723
20893,34126
20894,22221
20895,17542
20896,27915
20897,17537
20898,23063
20899,14911
20900,28534
20901,22879
20902,16944
20903,14333
20904,15645
20905,8816
20906,17400
20907,13968
20908,12643
20909,28215
20910,14307
20911,13015
20912,14241
20913,6579
20914,9846
20915,10069
20916,26805
20917,22615
20918,19119
20919,29051
20920,44801
20921,23033
20922,12496
20923,11304
20924,14463
20925,24879
20926,21614
20927,18129
20928,43579
20929,12666
20930,14862
20931,24731
20932,20285
20933,19681
20934,16892
20935,33824
20936,20986
20937,24390
20938,21203
20939,14628
20940,25499
20941,12328
20942,24527
20943,18521
20944,14914
20945,19646
20946,12366
20947,21178
20948,16110
20949,15351
20950,13515
20951,14211
20952,13575
20953,11534
20954,23816
20955,13649
20956,23442
20957,26410
20958,25541
20959,13191
20960,20060
20961,11557
20962,32475
20963,22752
20964,14293
20965,27337
20966,13647
20967,19683
20968,13107
20969,30867
20970,10728
20971,13112
20972,17887
20973,15899
20974,18477
20975,11105
20976,22522
20977,25485
20978,41686
20979,14790
20980,12922
20981,13451
20982,9990
20983,23790
20984,12173
20985,19031
20986,55689
20987,21074
20988,16195
20989,8688
20990,34660
20991,23774
20992,33789
20993,12430
20994,26431
20995,9026
20996,12027
20997,19124
20998,34303
20999,11683
21000,22349
21001,11557
21002,31798
21003,18276
21004,19159
21005,33251
21006,11922
21007,18023
21008,14870
21009,26630
21010,46893
21011,11982
21012,28053
21013,24441
21014,15502
21015,9233
21016,14354
21017,24487
21018,27252
21019,14657
21020,41044
21021,43943
21022,24065
21023,22669
21024,9255
21025,12723
21026,24323
21027,17974
21028,26600
21029,26603
21030,13091
21031,13226
21032,23576
21033,19152
21034,37422
21035,14711
21036,20109
21037,14051
21038,27806
21039,23110
21040,21997
21041,19187
21042,34250
21043,31619
21044,46770
21045,13067
21046,24062
21047,30608
21048,19840
21049,24517
21050,12198
21488,42221
21489,18567
21490,23113
21491,14084
21492,18382
21493,19463
21494,14469
21495,27064
21496,13249
21497,23927
21498,7741
21499,22751
21500,16710
21501,19861
21502,25172
21503,41109
21504,12878
21505,13329
21506,22692
21507,18922
21508,12345
21509,26865
21510,16659
21511,12044
21512,19503
21513,27937
21514,36216
21515,14624
21516,25656
21517,23002
21518,22542
21519,23982
21520,21022
21521,13131
21522,11848
21523,9290
21524,20688
21525,10931
21526,39055
21527,31083
21528,13111
21529,37076
21530,11443
21531,18563
21532,17169
21533,14163
21534,21494
21535,32555
21536,13852
21537,11235
21538,22302
21539,13331
21540,13282
21541,18831
21542,15125
21543,22667
21544,38414
21545,14463
21546,31144
21547,27870
21548,17708
21549,11477
21550,10417
21551,19556
21552,15827
21553,15674
21554,54599
21555,16367
21556,28585
21557,16844
21558,11028
21559,17727
21560,19910
21561,16004
21562,38561
21563,36412
21564,25929
21565,13280
21566,13904
21567,40000
21568,18246
21569,53361
21570,23559
21571,31182
21572,25789
21573,34591
21574,18397
21575,14221
21576,33905
21577,24516
21578,14789
21579,14934
21580,16646
21581,12180
21582,31075
21583,14125
21584,20119
21585,30839
21586,11550
21587,24821
21588,10293
21589,23221
21590,24772
21591,44210
21592,12864
21593,20700
21594,11563
21595,35861
21596,15690
21597,12234
21598,24624
21599,26046
21600,33235
21601,14130
21602,29181
21603,18091
21604,14012
21605,14031
21606,14189
21607,12853
21608,25175
21609,26753
21610,12083
21611,16236
21612,24578
21613,30495
21614,10208
21615,22609
21616,6491
21617,12360
21618,28081
21619,38506
21620,14078
21621,12352
21622,14346
21623,6836
21624,27364
21625,20192
21626,19501
21627,19162
21628,17728
21629,12343
21630,10965
21631,37265
21632,15690
21633,33705
21634,22123
21635,13502
21636,12125
21637,12821
21638,11241
21639,14519
21640,8698
21641,15420
21642,17442
21643,28904
21644,11186
21645,15032
21646,18663
21647,14651
21648,28209
21649,22533
21650,17188
21651,17639
21652,33673
21653,25719
21654,16382
21655,12384
21656,17582
21657,42401
21658,14246
21659,9055
21660,14907
21661,42975
21662,20269
21663,25117
21664,15750
21665,23060
21666,15574
21667,22715
21668,21276
21669,15084
21670,28721
21671,30898
21672,14237
21673,12672
21674,37238
21675,22807
21676,17233
21677,35531
21678,16017
21679,29790
21680,28435
21681,42819
21682,30476
21683,26085
21684,27571
21685,13762
21686,14340
21687,17860
21688,30015
21689,28304
21690,13702
21691,22513
21692,28574
21693,18311
21694,37334
21695,16063
21696,27038
21697,23055
21698,19454
21699,20130
21700,17759
21701,24398
21702,11482
21703,15420
21704,20188
21705,13590
21706,16568
21707,13051
21708,20825
21709,15194
21710,15480
21711,27201
21712,13569
21713,22640
21714,15019
21715,11254
21716,9152
21717,27285
21718,22571
21719,12581
21720,23287
21721,20215
21722,36990
21723,14099
21724,19314
21725,22923
21726,9031
21727,15688
21728,10880
21729,19271
21730,12042
21731,20554
21732,15285
21733,12464
21734,17648
21735,11616
21736,29666
21737,23001
21738,34131
21739,13084
21740,12443
21741,19479
21742,19698
21743,20413
21744,12962
21745,11572
21746,15485
21747,25748
21748,9416
21749,6710
21750,23195
21751,13617
21752,13328
21753,37194
21754,14225
21755,15553
21756,17022
21757,16313
21758,14439
21759,18975
21760,19943
21761,17762
21762,12792
21763,15696
21764,23910
21765,14359
21766,13570
21767,21817
21768,23744
21769,19785
21770,34250
21771,19744
21772,16747
21773,26124
21774,17033
21775,26256
21776,13894
21777,34312
21778,40202
21779,23893
21780,12235
21781,14963
21782,25635
21783,21562
21784,17512
21785,26399
21786,47188
21787,63854
21788,16881
21789,15756
21790,33133
21791,25243
21792,13228
21793,17233
